ID,game_id,Fixture,Attacking Team,Defending Team,Attacking Team ID,Defending Team ID,Goals Scored,Goals Conceded,Goals Difference,Game State,Side,Early/Lateral/Deep,OPTA Event ID,period_id,min,sec,X Coordinate,Y Coordinate,End X Coordinate,End Y Coordinate,Length Pass,% Distance Along X,Player ID,Player Name,Preferred Foot,Outcome,Keypass/Assist,Blocked Pass,Cutback,OPTA Pull Back Qualifier,Out Of Pitch,Ending Too Wide,Cross Type,Set Piece OPTA Event ID,OPTA Cross Qualifier,Time Between Set Piece and Cross,Number Events Between Set Piece and Cross,Linked 2nd Phase Cross IDs,First Contact Type,First Contact Explanation,First Contact Player ID,First Contact Player Name,First Contact Team ID,First Contact Team Name,First Contact Aerial,Defending Goalkeeper ID,Defending Goalkeeper Name,First Contact Event ID,First Contact Shot,First Contact X Coordinate,First Contact Y Coordinate,Cross After A Penalty Kick,Cross After A Throw-in,Penalty Kick OPTA ID,Throw-in OPTA ID,Time Between Penalty Kick And Cross,Time Between Throw-in And Cross,Time Lapsed From Cross And First Contact
47228,f1059885,Crystal Palace v West Ham United,Crystal Palace,West Ham United,t31,t21,0,0,NULL,drawing,Left,Lateral,2173898203,1,21,22,88.2,75.4,91,55.2,14.02,2.8,p50471,James McArthur,Right,Unsuccessful,,0,0,0,0,0,Open Play,,0,NULL,NULL,,12,Clearance,p40669,Angelo Ogbonna,t21,,0,p40694,Roberto Jiménez,2173898253,0,9.2,49.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47318,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,0,NULL,drawing,Left,Lateral,2174034725,1,9,48,89.9,76.9,95.2,48.1,20.35,5.3,p101668,Jamie Vardy,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p122798,Andrew Robertson,t14,,0,p116535,Alisson,2174034727,0,4.4,53.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47324,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,0,NULL,drawing,Right,Early,2174036059,1,21,55,76.5,8.5,87.4,44,26.7,10.9,p201666,Harvey Barnes,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p171287,Joseph Gomez,t14,,0,p116535,Alisson,2174036065,0,12.8,54.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47332,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,1,NULL,losing,Right,Early,2174037067,1,33,35,73.9,22.8,85.5,45.7,19.75,11.6,p111931,Ricardo Pereira,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p171287,Joseph Gomez,t14,,0,p116535,Alisson,2174037071,0,15.6,49.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3971,f855290,Watford v Leicester City,Watford,Leicester City,t57,t13,2,1,NULL,winning,Right,Early,4500946,1,39,18,74.3,17,88.6,50.4,27.23,14.3,p52940,Daryl Janmaat,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p15033,Wes Morgan,t13,,1,p51934,Ron-Robert Zieler,1265760998,0,10.8,44.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47341,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Early,2174039955,2,53,0,75.9,97.2,93.9,47.8,38.52,18,p122798,Andrew Robertson,Left,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p172850,Ben Chilwell,t13,,0,p17745,Kasper Schmeichel,2174039957,0,6.9,51.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47342,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Lateral,2174040021,2,53,50,92,12.2,92.2,51.5,26.71,0.2,p169187,Trent Alexander-Arnold,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p37642,Jonny Evans,t13,,0,p17745,Kasper Schmeichel,2174040023,0,8.3,52.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47343,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Early,2174040097,2,54,14,79.8,25.2,94,71.4,34.75,14.2,p169187,Trent Alexander-Arnold,Right,Successful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,1,Pass,p110979,Sadio Mané,t14,,0,p17745,Kasper Schmeichel,2174040099,0,94.3,77.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47344,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Lateral,2174040109,2,54,19,89.2,83.6,97.3,34.5,34.44,8.1,p122798,Andrew Robertson,Left,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,61,Ball touch,p166989,Youri Tielemans,t13,,0,p17745,Kasper Schmeichel,2174040111,0,2.9,66.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47345,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Right,Early,2174040125,2,54,35,79.5,18.6,89.5,62.3,31.5,10,p56979,Jordan Henderson,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p37642,Jonny Evans,t13,,1,p17745,Kasper Schmeichel,2174040133,0,13.2,54.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
